type,topic,question,answer,options,correctOption,explanation
qa,"Lecture 3","Hva er en hashmap, og hvordan oppnår den ""nesten konstant"" tidskompleksitet for mange operasjoner?","En hashmap er en datastruktur som lagrer nøkler og tilhørende verdier. Den bruker en hashfunksjon for å beregne en indeks i et internt array basert på nøkkelen, noe som gir rask tilgang, innsetting og sletting i forventet konstant tid, selv om kollisjoner kan påvirke ytelsen i verste fall.",,,
qa,"Lecture 3","Hvorfor er det viktig å implementere __hash__ og __eq__ (i Python) eller hashCode() og equals() (i Java) når man bruker egendefinerte k","Disse metodene er essensielle for at hashmaps skal fungere korrekt med egendefinerte nøkler. __hash__/hashCode() bestemmer hvor objektet skal plasseres, mens __eq__/equals() brukes til å sjekke om to nøkler er like, spesielt ved kollisjoner. Konsistens mellom disse to er avgjørende: like objekter må ha samme hashkode",,,
qa,"Lecture 3","Beskriv hvordan dybde-først søk (DFS) fungerer for å traversere en graf.","DFS fungerer ved å starte ved en node, besøke en av dens ubesøkte naboer, og deretter rekursivt fortsette fra den naboen. Den utforsker en ""sti"" så dypt som mulig før den backtracker til forrige node og utforsker en annen sti. For å unngå uendelige løkker i grafer med sykluser, må algoritmen markere besøkte noder.",,,
qa,"Lecture 3","Hva er hovedproblemet med en rekursiv implementasjon av DFS for svært store grafer eller trær, og hvordan kan man omgå dette problemet?","En rekursiv DFS-implementasjon kan føre til stack overflow errors for store grafer eller trær fordi hvert rekursive kall legger til et nytt lag i call stacken, som har begrenset størrelse. Dette kan unngås ved å implementere DFS iterativt ved hjelp av en eksplisitt stack data struktur (som en liste eller en dedikert stack-klasse) som administreres på heapen, som har mye større kapasitet.",,,
qa,"Lecture 3","Forklar konseptet memoization og gi et eksempel på når det er spesielt nyttig.","Memoization er en optimaliseringsteknikk for rekursive funksjoner der resultatet av kostbare funksjonskall lagres og gjenbrukes for samme input. Det er nyttig for problemer med overlappende subproblemer, for eksempel beregning av Fibonacci-tall rekursivt, der mange delberegninger gjøres flere ganger.",,,
qa,"Lecture 3","Gi et kort eksempel på en listekomprenasjon i Python og forklar dens tidskompleksitet i forhold til antall elementer den opererer på. Eksempel: [x*2 for x in numbers if x > 0].","Denne listekomprenasjonen går gjennom alle elementene i numbers. Hvis betingelsen x > 0 er sann, utføres transformasjonen x*2 og resultatet legges til i den nye listen. Hvis det er n elementer i numbers, og betingelsen og transformasjonen tar konstant tid, vil tidskompleksiteten være Θ(n).",,,
qa,"Lecture 3","Hva er dynamisk programmering (DP), og hvordan skiller det seg fra memoization i implementeringen?","Dynamisk programmering er en teknikk for å løse komplekse problemer ved å bryte dem ned i overlappende subproblemer, løse hvert subproblem bare én gang og lagre løsningene i en tabell. Mens memoization typisk er en top-down tilnærming (rekursivt med lagring), er DP ofte en bottom-up tilnærming (iterativt, starter med de enkleste subproblemene).",,,
qa,"Lecture 3","Hvilken viktig egenskap kjennetegner NP-komplette problemer med hensyn til verifisering av en foreslått løsning?","En viktig egenskap ved NP-komplette problemer er at selv om det kan være vanskelig å finne en løsning, kan korrektheten av en gitt ""ja""-løsning verifiseres i polynomisk tid. Dette betyr at hvis noen presenterer en mulig løsning, kan vi relativt raskt sjekke om den faktisk er gyldig.",,,
qa,"Lecture 3","Nevn to eksempler på NP-komplette beslutningsproblemer som ble nevnt i kildematerialet.","To eksempler på NP-komplette beslutningsproblemer er Boolean satisfiability (SAT) og Subset sum. Andre inkluderer Subgraph isomorphism og Traveling salesperson.",,,
qa,"Lecture 3","Hva er den viktigste fordelen med generatorkomprehensjoner i Python og stream expressions i Java sammenlignet med listekomprenhensjoner når det gjelder minnebruk og ytelse i visse situasjoner?","Generatorkomprehensjoner og stream expressions er ""lazy evaluated"", noe som betyr at de genererer elementer kun når de etterspørres, i stedet for å lage hele datastrukturen på forhånd. Dette kan være mer minneeffektivt, spesielt for store datasett, og kan forbedre ytelsen hvis ikke alle genererte elementene faktisk brukes.",,,
mc,"Lecture 4","Hvilken av følgende beskrivelser stemmer best for hvordan datamaskinens minne fremstår for et program?",,"En samling av ustrukturerte data uten spesifikke adresser.|En hierarkisk struktur organisert i segmenter med ulike formål.|En sammenhengende sekvens av bytes, der hver byte har sin egen adresse|Et abstrakt konsept uten direkte korrespondanse til fysisk maskinvare.",2,"For et program fremstår datamaskinens minne som en kontinuerlig rekke av bytes, hvor hver byte har sin egen unike adresse. Programmet er ansvarlig for å tolke innholdet i disse bytene og holde styr på hvilken type data som er lagret hvor, samt hvor de ulike verdiene begynner og slutter. \n\nAlternativ 'En samling' er feil fordi minnet er adressert. \nAlternativ 'En hierarkisk' kan delvis være sant på et operativsystemnivå med for eksempel segmentering, men for det enkelte programmet er det mer korrekt å se det som en lineær sekvens. \nAlternativ 'Et abstrakt' er feil fordi minnet er fysisk maskinvare som programmet direkte interagerer med gjennom adresser."
mc,"Lecture 4","Hvor skjer automatisk minneallokering hovedsakelig?",,"På stakken for lokale variabler og funksjonsparametere|På heapen ved bruk av new-operatoren|I statisk allokert minne for globale variabler|I virtuelt minne administrert av operativsystemet",0,"Automatisk minneallokering skjer på stakken. Når en funksjon kalles, opprettes en stack frame som inneholder funksjonens parametere og lokale variabler. Denne allokeringen og deallokeringen skjer automatisk når funksjonen henholdsvis kalles og returnerer. \n\nAlternativ 'På heapen' beskriver dynamisk minneallokering som foregår på heapen ved bruk av new.\nAlternativ 'I statisk' beskriver statisk minneallokering for globale variabler.\nAlternativ 'I virtuelt' refererer til en minnehåndteringsteknikk på operativsystemnivå, ikke en spesifikk plassering for automatisk allokering sett fra programmet."
mc,"Lecture 4","Hvilken operator i C++ brukes for å få tilgang til verdien som en peker peker på?",,"&|.|->|**",3,"Operatoren som brukes for å få tilgang til (hente verdien fra) minneadressen som en peker inneholder, kalles dereferanseoperatoren, og i C++ er dette *.\n\nAlternativ &, er adresseoperatoren som gir deg minneadressen til en variabel.\nAlternativ ., brukes for å få tilgang til medlemmer av et objekt direkte.\nAlternativ ->, brukes for å få tilgang til medlemmer av et objekt gjennom en peker til objektet."
mc,"Lecture 4","Hva er hovedårsaken til at en stack overflow kan oppstå?",,"For mange dynamiske minneallokeringer på heapen.|Forsøk på å dereferere en nullpeker.|For mange nestede eller rekursive funksjonskall som bruker opp all tilgjengelig minne i stakken|Fragmentering av minnet på heapen.",2,"En stack overflow oppstår når call stacken blir full. Dette skjer typisk ved for mange nestede funksjonskall eller dype rekursive kall som gjør at det allokeres for mange stack frames. Hver funksjonskall legger til en ny stack frame som inneholder parametere, lokale variabler og returadresse. Hvis disse kallene ikke returnerer i tide, vil stakken til slutt gå tom for plass.\n\nAlternativ 'For mange dynamiske' handler om heapen.\nAlternativ 'Forsøk på å dereferere' fører til et programkrasj på grunn av ugyldig minnetilgang, ikke nødvendigvis en stack overflow.\nAlternativ 'Fragmentering' er et problem knyttet til minnehåndtering på heapen."
mc,"Lecture 4","Hva er en av hovedgrunnene til å bruke pekere i programmering?",,"For å unngå å jobbe direkte med minneadresser.|Fordi det er den eneste måten å deklarere variabler i C++.|For at en funksjon skal kunne modifisere den underliggende verdien av en variabel som er passert som argument|For å sikre at all minneallokering skjer statisk.",2,"En viktig grunn til å bruke pekere er muligheten for at en funksjon kan direkte endre verdien av en variabel som er sendt inn som et argument . Uten pekere ville funksjoner som regel jobbet med kopier av argumentene. Pekere tillater også mer effektiv håndtering av store objekter ved å sende en adresse i stedet for å kopiere hele objektet . Videre er pekere essensielle for å lage dynamiske datastrukturer som lenkede lister .\n\nAlternativ 'For å unngå' er feil, da pekere er direkte arbeid med minneadresser.\nAlternativ 'Fordi det er' er feil; det finnes mange måter å deklarere variabler uten pekere.\nAlternativ 'For å sikre' er feil; pekere brukes ofte i forbindelse med dynamisk minneallokering."
qa,"Lecture 4","Forklar forskjellen mellom big endian og little endian.","Big endian betyr at byten med størst signifikans lagres først i minnet (ved den laveste adressen), mens little endian betyr at byten med minst signifikans lagres først.\nFor en 4-byte integer vil rekkefølgen av bytene i minnet være omvendt mellom de to endianess-typene",,,
qa,"Lecture 4","Hva er en nullpeker i C++ og hvorfor kan den være farlig?","En nullpeker er en peker som ikke peker på et gyldig minneområde. Den representeres som NULL eller nullptr i C++. Den er farlig fordi forsøk på å dereferere (få tilgang til verdien som pekeren ""peker"" på) en nullpeker kan føre til at programmet krasjer.",,,
qa,"Lecture 4","Beskriv hvordan dynamisk minne allokeres i C++ og hva new-operatoren returnerer.","I C++ allokerer man dynamisk minne ved å bruke new-operatoren fulgt av typen man ønsker å allokere, for eksempel new int eller new Person(...). new-operatoren returnerer en peker til det nylig allokerte minnet.",,,
qa,"Lecture 4","Hva er heapen og hvordan skiller den seg fra stakken med tanke på minneallokering og deallokering?","Heapen er et minneområde for dynamisk allokerte verdier. I motsetning til stakken, som har en streng LIFO-struktur (sist inn, først ut), kan verdier på heapen allokeres og deallokeres i vilkårlig rekkefølge, noe som kan føre til fragmentering. Stakken brukes for automatisk minneallokering av lokale variabler og funksjonsparametere når en funksjon kalles.",,,
qa,"Lecture 4","Hvordan håndteres konseptet ""referanse til ingenting"" i C++, Java og Python?","I C++ representeres en ""referanse til ingenting"" av en nullpeker (NULL eller nullptr). En C++-referanse i seg selv må initialiseres til å referere til en eksisterende variabel og kan ikke være null. I Java representeres en ""referanse til ingenting"" med nøkkelordet null. I Python finnes ikke nullpekere; i stedet brukes objektet None for å indikere en manglende referanse. Forsøk på å bruke en nullpeker (C++) eller en nullreferanse (Java) kan føre til programkrasj eller exceptions.",,,
qa,"Lecture 5","Hva er hovedforskjellen på hvordan minne allokeres for arrays i C++ og Java?","I C++ allokeres arrays opprettet med new på heapen, og array-variabelen er en peker til det første elementet. I Java allokeres arrays alltid på heapen, og array-variabelen er en referanse til arrayen.",,,
qa,"Lecture 5","Hva er en minnelekkasje i C++?","En minnelekkasje i C++ oppstår når dynamisk allokert minne med new (eller new[]) ikke blir frigjort med delete (eller delete[]) når det ikke lenger er i bruk. Dette resulterer i at programmet gradvis bruker mer minne.",,,
qa,"Lecture 5","Hva er garbage collection og hva er en av dens viktigste fordeler?","Garbage collection er en automatisk minnehåndteringsteknikk der systemet periodisk identifiserer og frigjør minne som ikke lenger er referert til av programmet. En viktig fordel er at den reduserer byrden for programmereren ved å håndtere minnefrigjøring automatisk.",,,
qa,"Lecture 5","Hva er en destruktør i C++ og når blir den kalt?","En destruktør i C++ er en spesiell medlemsfunksjon i en klasse med samme navn som klassen, men med en tilde (~) foran. Den kalles automatisk når et objekt av klassen går ut av scope eller blir deallokert med delete eller delete[].",,,
qa,"Lecture 5","Forklar kort hva romlig lokalitet er.","Romlig lokalitet refererer til tendensen til et program å aksessere minnelokasjoner som er nære hverandre i minnet innenfor en kort tidsperiode. CPU-cacher utnytter dette ved å lagre nærliggende data sammen.",,,
qa,"Lecture 5","Hvorfor kan sortering av data noen ganger føre til raskere utførelse av kode med betingelser i løkker?","Sortering kan forbedre ytelsen fordi hvis de fleste elementene som oppfyller en betingelse kommer sammen, vil branch prediction i CPUen ha lettere for å korrekt forutsi utfallet av betingelsen. Dette reduserer antall feilaktige forutsigelser og forbedrer dermed utførelsestiden.",,,
mc,"Lecture 5","Hvor allokeres minne for arrays som opprettes dynamisk i C++?",,"På stakken.|På heapen|I statisk minne.|I CPU-cachen.",1,"I C++, arrays opprettet med new allokeres på heapen. \nStakken brukes hovedsakelig for lokale variabler og funksjonskall.\nStatisk minne brukes for globale variabler og variabler deklarert som static.\nCPU-cachen er et hurtigminne for nylig brukte data, ikke et sted for primær minneallokering."
mc,"Lecture 5","Hvilket av følgende er hovedformålet med en destruktør i C++?",,"Å allokere minne for et objekt.|Å initialisere medlemsvariablene til et objekt.|Å frigjøre ressurser som et objekt har allokert.|Å definere grensesnittet til et objekt.",2,"Den primære formålet med en destruktør i C++ er å frigjøre ressurser, som for eksempel dynamisk allokert minne, som objektet har brukt.\nAllokering av minne gjøres vanligvis med konstruktører eller new.\nInitialisering av medlemsvariabler er også en vanlig oppgave for konstruktører.\nÅ definere grensesnittet gjøres gjennom klassedeklarasjonen."
mc,"Lecture 5","Hva er den potensielle ulempen med garbage collection sammenlignet med manuell minnehåndtering?",,"Større risiko for minnelekkasjer.|Mer kompleks kode for minnehåndtering.|Potensielle korte pauser i utførelsen.|Vanskeligere å utnytte cache-lokalitet.",2,"En ulempe med garbage collection er potensielle korte pauser i utførelsen mens søppelinnsamleren kjører.\n\nManuell minnehåndtering i C++ kan føre til større risiko for minnelekkasjer hvis det ikke gjøres korrekt.\nKompleksiteten ligger i å håndtere minnet selv, ikke nødvendigvis i garbage collection.\nUtnyttelse av cache-lokalitet er mer relatert til hvordan data struktureres og aksesseres, ikke primært til minnehåndteringsmetoden."
mc,"Lecture 5","Hva menes med tidslig lokalitet",,"Tendensen til å aksessere minnelokasjoner som er langt fra hverandre i minnet.|Tendensen til å aksessere minnelokasjoner i en bestemt rekkefølge.|endensen til å aksessere den samme minnelokasjonen flere ganger innenfor en kort tidsperiode.|Tendensen til å allokere minne kun på stakken.",2,"Tidslig lokalitet refererer til tendensen til å aksessere den samme minnelokasjonen flere ganger innenfor en kort tidsperiode. \nAlternativ 'minnelokasjoner som er langt fra hverandre' beskriver mangel på romlig lokalitet.\nAlternativ 'minnelokasjoner i en bestemt rekkefølge' beskriver et aksessmønster, men ikke nødvendigvis tidslig lokalitet. \nAlternativ 'Tendensen til å allokere' handler om minneallokering på stakken, ikke lokalitet."
mc,"Lecture 5","Hvorfor kan det oppstå minnelekkasjer i språk som bruker garbage collection?",,"Fordi garbage collectoren ikke fungerer korrekt.|Fordi minne allokert på stakken ikke blir frigjort.|Fordi programmet beholder referanser til objekter som ikke lenger er nødvendige|Fordi destruktører ikke kalles automatisk.",2,"Minnelekkasjer kan oppstå selv med garbage collection hvis programmet beholder referanser til objekter eller arrays som ikke lenger er nødvendige. Garbage collectoren frigjør kun minne som ikke har noen aktive referanser. \n\nAlternativ ' ikke fungerer korrekt.' er usannsynlig i velfungerende systemer.\nAlternativ 'minne allokert på stakken ikke blir frigjort.' er ikke en typisk årsak til lekkasjer i språk med garbage collection. \nAlternativ 'destruktører ikke kalles' er relevant for C++, der manglende destruktører kan føre til ressurslekkasjer, men i språk med garbage collection er problemet snarere at objektene fortsatt er ""i bruk"" så lenge det finnes referanser til dem."
mc,"Lecture 5","Hvilken konsekvens kan det ha å aksessere en multidimensjonal array på en måte som ikke er cache-vennlig?",,"Raskere programutførelse på grunn av mindre minnebruk.|Tregere programutførelse på grunn av dårligere utnyttelse av CPU-cachen. |Økt risiko for minnelekkasjer.|Kompilatoren vil optimalisere aksessmønsteret automatisk.",1,"Å aksessere en multidimensjonal array på en ikke cache-vennlig måte kan føre til tregere programutførelse på grunn av dårligere utnyttelse av CPU-cachen. Når aksessmønsteret ikke følger den fysiske layouten i minnet, vil CPUen oftere måtte hente data fra hovedminnet i stedet for den raskere cachen. Dette øker minnetilgangstiden og reduserer ytelsen. \n\nAlternativ 'Raskere programutførelse' er feil da dårlig cache-bruk vanligvis ikke reduserer minnebruken. \nAlternativ 'Økt risiko' er ikke direkte relatert til cache-bruk. \nAlternativ 'Kompilatoren ' er ikke alltid tilfelle; programmereren må ofte ta hensyn til cache-effektivitet i koden."
qa,"Lecture 6","Hva er hovedforskjellen på hvordan bibliotekkode inkluderes ved statisk og dynamisk linking?","Ved statisk linking kopieres bibliotekkoden direkte inn i den kjørbare filen under kompilering. Ved dynamisk linking lagres bibliotekskoden i separate delte bibliotekfiler, og operativsystemet laster dem inn i minnet når programmet kjører.",,,
qa,"Lecture 6","Nevn én fordel med statisk linking og én fordel med dynamisk linking.","En fordel med statisk linking er at den kjørbare filen inneholder all nødvendig kode og dermed er mer portabel. En fordel med dynamisk linking er at diskplass spares fordi delte biblioteker bare lagres én gang.",,,
qa,"Lecture 6","Hvilke tre standardstrømmer stiller operativsystemet til rådighet for en prosess, og hva er deres primære bruksområder?","De tre standardstrømmene er stdin (standard input) for inndata til programmet (vanligvis tastatur), stdout (standard output) for normal utdata fra programmet (vanligvis terminal), og stderr (standard error) for feilmeldinger fra programmet (også vanligvis terminal).",,,
qa,"Lecture 6","Hva indikerer en statuskode på 0 når et program avsluttes i henhold til Linux-konvensjonen, og hvordan kan man spesifisere en annen statuskode i Python?","En statuskode på 0 indikerer at programmet ble utført uten feil. I Python kan man spesifisere en annen statuskode ved å bruke sys.exit(x) hvor x er den ønskede koden.",,,
qa,"Lecture 6","Forklar kort hensikten med `extern ""C""` i C++.","Hensikten med `extern ""C""` i C++ er å hindre navnemangling (name mangling) for spesifikke funksjoner. Dette gjør at C++-funksjoner kan kalles fra C-kode eller andre språk som forventer C-stil funksjonsnavn.",,,
qa,"Lecture 6","Hva er Java Native Interface (JNI) og hva er Foreign Function & Memory API (FFM API) i Java?","Java Native Interface (JNI) er en mekanisme som gjør det mulig for Java-kode å samhandle med kode skrevet i andre språk som C og C++. Foreign Function & Memory API (FFM API) er et nyere system i Java som forenkler interaksjonen med kode utenfor JVM.",,,
mc,"Lecture 6","Hvilket begrep beskriver prosessen der bibliotekkode kopieres direkte inn i den kjørbare filen under kompilering?",,"Dynamisk linking|Statisk linking|Lasting|Kompilering",1,"Statisk linking er definert som prosessen der kompilatoren kopierer og kombinerer all nødvendig bibliotekkode direkte inn i den endelige kjørbare filen under kompilering.\n\nAlternativ 'Dynamisk linking' refererer til at koblingen til bibliotekkode utsettes til kjøretid. \nAlternativ 'Lasting' er prosessen der operativsystemet henter den kjørbare filen (og eventuelle dynamiske biblioteker) inn i minnet ved kjøretid. \nAlternativ 'Kompilering' er prosessen med å oversette kildekode til objektkode."
mc,"Lecture 6","Hvilken av følgende er en potensiell ulempe med statisk linking?",,"Økt avhengighet av eksterne biblioteker ved kjøretid.|Større kjørbare filer som kan føre til sløsing av diskplass.|Tiden det tar å starte programmet øker.|Vanskeligere å oppdatere biblioteker.",1,"En ulempe med statisk linking er at den kjørbare filen blir større, og at diskplass sløses hvis mange programmer bruker det samme biblioteket.\n\nAlternativ 'Økt avhengighet av eksterne biblioteker ved kjøretid' er en ulempe med dynamisk linking. \nAlternativ 'Tiden det tar å starte programmet øker' er mer relatert til lasting av mange dynamiske biblioteker eller oppstart av nye prosesser.\nAlternativ 'Vanskeligere å oppdatere biblioteker' er også en ulempe med statisk linking fordi man må rekompilere og redistribuere alle applikasjoner som bruker biblioteket når det oppdateres."
mc,"Lecture 6","Hvilken standardstrøm brukes vanligvis for å sende feilmeldinger fra et program?",,"stdin|stdout|stderr|stdlog",2,"stderr (standard error) er standardstrømmen som brukes for feilmeldinger fra programmet.\n\nAlternativ 'stdin (standard input)' brukes for inndata til programmet.\nAlternativ 'stdout (standard output)' brukes for normal utdata fra programmet.\nAlternativ 'stdlog' er ikke en av de tre standardstrømmene som operativsystemet gir til en prosess ved oppstart."
mc,"Lecture 6","Hva indikerer vanligvis en statuskode (exit code) forskjellig fra 0 når et program avsluttes?",,"Programmet har fullført uten problemer.|Programmet ble tvangsavsluttet av brukeren.|Det har oppstått en feil under utførelsen av programmet.|Programmet venter fortsatt på inndata.",2,"En statuskode forskjellig fra 0 indikerer konvensjonelt at det har oppstått en feil under utførelsen av programmet. En statuskode på 0 indikerer at programmet ble utført uten feil.\n\nAlternativ 'Programmet har fullført uten problemer' tilsvarer en statuskode på 0.\nAlternativ 'Programmet ble tvangsavsluttet av brukeren' kan resultere i en statuskode forskjellig fra 0, men det er mer spesifikt en årsak til feil eller avbrudd.\nAlternativ 'Programmet venter fortsatt på inndata' betyr at programmet ikke har avsluttet ennå og vil derfor ikke ha returnert en statuskode."
mc,"Lecture 6","Hvilken funksjonalitet i C++ brukes for å sikre at C++-funksjoner kan kalles direkte fra C-kode?",,"Navnemangling|Klasser|Templating|extern ""C""",3,"`extern ""C""` brukes i C++ for å hindre navnemangling. Dette er nødvendig for at funksjonsnavnene skal være kompatible med C-koblingskonvensjoner, slik at C-kode kan finne og kalle C++-funksjoner. \n\nAlternativ 'Navnemangling' er prosessen som extern ""C"" forsøker å unngå i dette tilfellet.\nAlternativ 'Klasser' og 'Templating' er andre viktige konsepter i C++, men de er ikke direkte relatert til kompatibilitet med C-kobling på denne måten."
mc,"Lecture 6","Hvilken av følgende er en potensiell ulempe ved å starte en ny prosess for å utføre kode i et annet språk?",,"Bedre minnehåndtering.|Økt sikkerhet på grunn av prosessisolering.|Tidsforsinkelse på grunn av oppstart og administrasjon av den nye prosessen.|Enklere deling av ressurser.",2,"En potensiell ulempe ved å starte en ny prosess er at det tar tid å starte en ny prosess på grunn av at den kjørbare filen må lastes inn i minnet og operativsystemet må utføre administrasjon. Dette kan føre til tidsforsinkelse, spesielt ved hyppig kjøring av små kodebiter. \n\nAlternativ 'Bedre minnehåndtering' kan være en fordel i visse tilfeller på grunn av prosessisolering, men er ikke en generell ulempe ved oppstart.\nAlternativ 'Økt sikkerhet på grunn av prosessisolering' er en fordel, ikke en ulempe.\nAlternativ 'Enklere deling av ressurser' er ikke nødvendigvis en direkte konsekvens eller fordel ved å starte en ny prosess for kode i et annet språk; deling av ressurser mellom prosesser krever spesifikke mekanismer."
qa,"Lecture 7","Hva betyr det for et program å åpne en fil, og hvorfor er det viktig å lukke filhåndtaket når man er ferdig?","Å åpne en fil betyr at programmet ber operativsystemet om å finne filen og opprette en ""forbindelse"" (filhåndtak/fildeskriptor). Det er viktig å lukke filhåndtaket når man er ferdig for å frigjøre systemressurser og unngå ressurslekkasjer, da det er en grense for hvor mange filhåndtak et program kan ha åpent samtidig.",,,
qa,"Lecture 7","Nevn de tre standardstrømmene som ethvert prosess mottar fra operativsystemet ved oppstart, og beskriv kort hva hver av dem brukes til.","De tre standardstrømmene er stdin (standard input) for inndata fra brukeren eller en annen prosess, stdout (standard output) for vanlige utdata til brukeren eller en annen prosess, og stderr (standard error) for feilmeldinger.",,,
qa,"Lecture 7","Hva er hovedforskjellen mellom sekvensiell og tilfeldig (random) filtilgang, og hvilken type er generelt raskere for diskoperasjoner?","Sekvensiell filtilgang betyr å lese eller skrive data i rekkefølge, fra begynnelsen til slutten, mens tilfeldig filtilgang betyr å få tilgang til data i en vilkårlig rekkefølge ved å bruke ""seek""-operasjoner. Sekvensiell tilgang er generelt raskere fordi disken kan lese sammenhengende blokker mer effektivt.",,,
qa,"Lecture 7","Forklar kort hva en diskcache er og hvorfor man må kalle sync() i visse situasjoner.","En diskcache er en mekanisme i operativsystemet som lagrer nylig leste eller skrivne diskblokker i minnet. Dette gjør at fremtidige tilganger til de samme dataene kan skje raskere fra minnet i stedet for den tregere disken. Man må kalle sync() for å være absolutt sikker på at data som er skrevet har blitt fysisk lagret på disken, da data først kan ligge i diskcachen.",,,
qa,"Lecture 7","Hva er Unicode, og hva er hensikten med det? Nevn minst to vanlige UTF-enkodinger.","Unicode er et omfattende tegnesett som har som mål å definere et unikt kodeunkt for de fleste tegn i alle skriftlige menneskelige språk. To vanlige UTF-enkodinger inkluderer UTF-8 (variabel lengde, 1-4 bytes per tegn) og UTF-16 (vanligvis 2 eller 4 bytes per tegn).",,,
